model,lambda_ss,time,mean_new_infections,mean_active_infected,mean_cumulative_infected
hub,0.2000,0,1.000000,1.000000,1.000000
hub,0.2000,1,2.600000,2.600000,3.600000
hub,0.2000,2,6.166667,6.166667,9.766667
hub,0.2000,3,8.833333,8.833333,18.600000
hub,0.2000,4,14.966667,14.966667,33.566667
hub,0.2000,5,20.600000,20.600000,54.166667
hub,0.2000,6,23.566667,23.566667,77.733333
hub,0.2000,7,29.966667,29.966667,107.700000
hub,0.2000,8,34.333333,34.333333,142.033333
hub,0.2000,9,31.133333,31.133333,173.166667
hub,0.2000,10,29.933333,29.933333,203.100000
hub,0.2000,11,24.933333,24.933333,228.033333
hub,0.2000,12,19.266667,19.266667,247.300000
hub,0.2000,13,17.233333,17.233333,264.533333
hub,0.2000,14,10.533333,10.533333,275.066667
hub,0.2000,15,5.700000,5.700000,280.766667
hub,0.2000,16,1.933333,1.933333,282.700000
hub,0.2000,17,0.600000,0.600000,283.300000
hub,0.2000,18,0.200000,0.200000,283.500000
hub,0.2000,19,0.000000,0.000000,283.500000
hub,0.2000,20,0.000000,0.000000,283.500000
hub,0.2000,21,0.000000,0.000000,283.500000
hub,0.2000,22,0.000000,0.000000,283.500000
hub,0.2000,23,0.000000,0.000000,283.500000
hub,0.2000,24,0.000000,0.000000,283.500000
hub,0.2000,25,0.000000,0.000000,283.500000
hub,0.2000,26,0.000000,0.000000,283.500000
hub,0.2000,27,0.000000,0.000000,283.500000
hub,0.2000,28,0.000000,0.000000,283.500000
hub,0.2000,29,0.000000,0.000000,283.500000
hub,0.2000,30,0.000000,0.000000,283.500000
hub,0.2000,31,0.000000,0.000000,283.500000
hub,0.2000,32,0.000000,0.000000,283.500000
hub,0.2000,33,0.000000,0.000000,283.500000
hub,0.2000,34,0.000000,0.000000,283.500000
hub,0.2000,35,0.000000,0.000000,283.500000
hub,0.2000,36,0.000000,0.000000,283.500000
hub,0.2000,37,0.000000,0.000000,283.500000
hub,0.2000,38,0.000000,0.000000,283.500000
hub,0.2000,39,0.000000,0.000000,283.500000
hub,0.2000,40,0.000000,0.000000,283.500000
hub,0.2000,41,0.000000,0.000000,283.500000
hub,0.2000,42,0.000000,0.000000,283.500000
hub,0.2000,43,0.000000,0.000000,283.500000
hub,0.2000,44,0.000000,0.000000,283.500000
hub,0.2000,45,0.000000,0.000000,283.500000
hub,0.2000,46,0.000000,0.000000,283.500000
hub,0.2000,47,0.000000,0.000000,283.500000
hub,0.2000,48,0.000000,0.000000,283.500000
hub,0.2000,49,0.000000,0.000000,283.500000
hub,0.2000,50,0.000000,0.000000,283.500000
hub,0.2000,51,0.000000,0.000000,283.500000
hub,0.2000,52,0.000000,0.000000,283.500000
hub,0.2000,53,0.000000,0.000000,283.500000
hub,0.2000,54,0.000000,0.000000,283.500000
hub,0.2000,55,0.000000,0.000000,283.500000
hub,0.2000,56,0.000000,0.000000,283.500000
hub,0.2000,57,0.000000,0.000000,283.500000
hub,0.2000,58,0.000000,0.000000,283.500000
hub,0.2000,59,0.000000,0.000000,283.500000
hub,0.2000,60,0.000000,0.000000,283.500000
hub,0.2000,61,0.000000,0.000000,283.500000
hub,0.2000,62,0.000000,0.000000,283.500000
hub,0.2000,63,0.000000,0.000000,283.500000
hub,0.2000,64,0.000000,0.000000,283.500000
hub,0.2000,65,0.000000,0.000000,283.500000
hub,0.2000,66,0.000000,0.000000,283.500000
hub,0.2000,67,0.000000,0.000000,283.500000
hub,0.2000,68,0.000000,0.000000,283.500000
hub,0.2000,69,0.000000,0.000000,283.500000
hub,0.2000,70,0.000000,0.000000,283.500000
hub,0.2000,71,0.000000,0.000000,283.500000
hub,0.2000,72,0.000000,0.000000,283.500000
hub,0.2000,73,0.000000,0.000000,283.500000
hub,0.2000,74,0.000000,0.000000,283.500000
hub,0.2000,75,0.000000,0.000000,283.500000
hub,0.2000,76,0.000000,0.000000,283.500000
hub,0.2000,77,0.000000,0.000000,283.500000
hub,0.2000,78,0.000000,0.000000,283.500000
hub,0.2000,79,0.000000,0.000000,283.500000
hub,0.2000,80,0.000000,0.000000,283.500000
hub,0.2000,81,0.000000,0.000000,283.500000
hub,0.2000,82,0.000000,0.000000,283.500000
hub,0.2000,83,0.000000,0.000000,283.500000
hub,0.2000,84,0.000000,0.000000,283.500000
hub,0.2000,85,0.000000,0.000000,283.500000
hub,0.2000,86,0.000000,0.000000,283.500000
hub,0.2000,87,0.000000,0.000000,283.500000
hub,0.2000,88,0.000000,0.000000,283.500000
hub,0.2000,89,0.000000,0.000000,283.500000
hub,0.2000,90,0.000000,0.000000,283.500000
hub,0.2000,91,0.000000,0.000000,283.500000
hub,0.2000,92,0.000000,0.000000,283.500000
hub,0.2000,93,0.000000,0.000000,283.500000
hub,0.2000,94,0.000000,0.000000,283.500000
hub,0.2000,95,0.000000,0.000000,283.500000
hub,0.2000,96,0.000000,0.000000,283.500000
hub,0.2000,97,0.000000,0.000000,283.500000
hub,0.2000,98,0.000000,0.000000,283.500000
hub,0.2000,99,0.000000,0.000000,283.500000
hub,0.2000,100,0.000000,0.000000,283.500000
hub,0.2000,101,0.000000,0.000000,283.500000
hub,0.2000,102,0.000000,0.000000,283.500000
hub,0.2000,103,0.000000,0.000000,283.500000
hub,0.2000,104,0.000000,0.000000,283.500000
hub,0.2000,105,0.000000,0.000000,283.500000
hub,0.2000,106,0.000000,0.000000,283.500000
hub,0.2000,107,0.000000,0.000000,283.500000
hub,0.2000,108,0.000000,0.000000,283.500000
hub,0.2000,109,0.000000,0.000000,283.500000
hub,0.2000,110,0.000000,0.000000,283.500000
hub,0.2000,111,0.000000,0.000000,283.500000
hub,0.2000,112,0.000000,0.000000,283.500000
hub,0.2000,113,0.000000,0.000000,283.500000
hub,0.2000,114,0.000000,0.000000,283.500000
hub,0.2000,115,0.000000,0.000000,283.500000
hub,0.2000,116,0.000000,0.000000,283.500000
hub,0.2000,117,0.000000,0.000000,283.500000
hub,0.2000,118,0.000000,0.000000,283.500000
hub,0.2000,119,0.000000,0.000000,283.500000
hub,0.2000,120,0.000000,0.000000,283.500000
hub,0.2000,121,0.000000,0.000000,283.500000
hub,0.2000,122,0.000000,0.000000,283.500000
hub,0.2000,123,0.000000,0.000000,283.500000
hub,0.2000,124,0.000000,0.000000,283.500000
hub,0.2000,125,0.000000,0.000000,283.500000
hub,0.2000,126,0.000000,0.000000,283.500000
hub,0.2000,127,0.000000,0.000000,283.500000
hub,0.2000,128,0.000000,0.000000,283.500000
hub,0.2000,129,0.000000,0.000000,283.500000
hub,0.2000,130,0.000000,0.000000,283.500000
hub,0.2000,131,0.000000,0.000000,283.500000
hub,0.2000,132,0.000000,0.000000,283.500000
hub,0.2000,133,0.000000,0.000000,283.500000
hub,0.2000,134,0.000000,0.000000,283.500000
hub,0.2000,135,0.000000,0.000000,283.500000
hub,0.2000,136,0.000000,0.000000,283.500000
hub,0.2000,137,0.000000,0.000000,283.500000
hub,0.2000,138,0.000000,0.000000,283.500000
hub,0.2000,139,0.000000,0.000000,283.500000
hub,0.2000,140,0.000000,0.000000,283.500000
hub,0.2000,141,0.000000,0.000000,283.500000
hub,0.2000,142,0.000000,0.000000,283.500000
hub,0.2000,143,0.000000,0.000000,283.500000
hub,0.2000,144,0.000000,0.000000,283.500000
hub,0.2000,145,0.000000,0.000000,283.500000
hub,0.2000,146,0.000000,0.000000,283.500000
hub,0.2000,147,0.000000,0.000000,283.500000
hub,0.2000,148,0.000000,0.000000,283.500000
hub,0.2000,149,0.000000,0.000000,283.500000
hub,0.2000,150,0.000000,0.000000,283.500000
hub,0.2000,151,0.000000,0.000000,283.500000
hub,0.2000,152,0.000000,0.000000,283.500000
hub,0.2000,153,0.000000,0.000000,283.500000
hub,0.2000,154,0.000000,0.000000,283.500000
hub,0.2000,155,0.000000,0.000000,283.500000
hub,0.2000,156,0.000000,0.000000,283.500000
hub,0.2000,157,0.000000,0.000000,283.500000
hub,0.2000,158,0.000000,0.000000,283.500000
hub,0.2000,159,0.000000,0.000000,283.500000
hub,0.2000,160,0.000000,0.000000,283.500000
hub,0.2000,161,0.000000,0.000000,283.500000
hub,0.2000,162,0.000000,0.000000,283.500000
hub,0.2000,163,0.000000,0.000000,283.500000
hub,0.2000,164,0.000000,0.000000,283.500000
hub,0.2000,165,0.000000,0.000000,283.500000
hub,0.2000,166,0.000000,0.000000,283.500000
hub,0.2000,167,0.000000,0.000000,283.500000
hub,0.2000,168,0.000000,0.000000,283.500000
hub,0.2000,169,0.000000,0.000000,283.500000
hub,0.2000,170,0.000000,0.000000,283.500000
hub,0.2000,171,0.000000,0.000000,283.500000
hub,0.2000,172,0.000000,0.000000,283.500000
hub,0.2000,173,0.000000,0.000000,283.500000
hub,0.2000,174,0.000000,0.000000,283.500000
hub,0.2000,175,0.000000,0.000000,283.500000
hub,0.2000,176,0.000000,0.000000,283.500000
hub,0.2000,177,0.000000,0.000000,283.500000
hub,0.2000,178,0.000000,0.000000,283.500000
hub,0.2000,179,0.000000,0.000000,283.500000
hub,0.2000,180,0.000000,0.000000,283.500000
hub,0.2000,181,0.000000,0.000000,283.500000
hub,0.2000,182,0.000000,0.000000,283.500000
hub,0.2000,183,0.000000,0.000000,283.500000
hub,0.2000,184,0.000000,0.000000,283.500000
hub,0.2000,185,0.000000,0.000000,283.500000
hub,0.2000,186,0.000000,0.000000,283.500000
hub,0.2000,187,0.000000,0.000000,283.500000
hub,0.2000,188,0.000000,0.000000,283.500000
hub,0.2000,189,0.000000,0.000000,283.500000
hub,0.2000,190,0.000000,0.000000,283.500000
hub,0.2000,191,0.000000,0.000000,283.500000
hub,0.2000,192,0.000000,0.000000,283.500000
hub,0.2000,193,0.000000,0.000000,283.500000
hub,0.2000,194,0.000000,0.000000,283.500000
hub,0.2000,195,0.000000,0.000000,283.500000
hub,0.2000,196,0.000000,0.000000,283.500000
hub,0.2000,197,0.000000,0.000000,283.500000
hub,0.2000,198,0.000000,0.000000,283.500000
hub,0.2000,199,0.000000,0.000000,283.500000
hub,0.2000,200,0.000000,0.000000,283.500000
normal,0.0000,0,1.000000,1.000000,1.000000
normal,0.0000,1,1.166667,1.166667,2.166667
normal,0.0000,2,1.500000,1.500000,3.666667
normal,0.0000,3,1.333333,1.333333,5.000000
normal,0.0000,4,1.266667,1.266667,6.266667
normal,0.0000,5,1.000000,1.000000,7.266667
normal,0.0000,6,1.433333,1.433333,8.700000
normal,0.0000,7,1.633333,1.633333,10.333333
normal,0.0000,8,1.600000,1.600000,11.933333
normal,0.0000,9,1.333333,1.333333,13.266667
normal,0.0000,10,1.200000,1.200000,14.466667
normal,0.0000,11,1.700000,1.700000,16.166667
normal,0.0000,12,1.233333,1.233333,17.400000
normal,0.0000,13,1.400000,1.400000,18.800000
normal,0.0000,14,1.033333,1.033333,19.833333
normal,0.0000,15,1.133333,1.133333,20.966667
normal,0.0000,16,1.066667,1.066667,22.033333
normal,0.0000,17,1.000000,1.000000,23.033333
normal,0.0000,18,1.333333,1.333333,24.366667
normal,0.0000,19,1.100000,1.100000,25.466667
normal,0.0000,20,1.133333,1.133333,26.600000
normal,0.0000,21,1.266667,1.266667,27.866667
normal,0.0000,22,0.933333,0.933333,28.800000
normal,0.0000,23,1.000000,1.000000,29.800000
normal,0.0000,24,0.900000,0.900000,30.700000
normal,0.0000,25,1.100000,1.100000,31.800000
normal,0.0000,26,0.700000,0.700000,32.500000
normal,0.0000,27,0.766667,0.766667,33.266667
normal,0.0000,28,0.600000,0.600000,33.866667
normal,0.0000,29,0.633333,0.633333,34.500000
normal,0.0000,30,0.466667,0.466667,34.966667
normal,0.0000,31,0.600000,0.600000,35.566667
normal,0.0000,32,0.400000,0.400000,35.966667
normal,0.0000,33,0.300000,0.300000,36.266667
normal,0.0000,34,0.300000,0.300000,36.566667
normal,0.0000,35,0.300000,0.300000,36.866667
normal,0.0000,36,0.400000,0.400000,37.266667
normal,0.0000,37,0.433333,0.433333,37.700000
normal,0.0000,38,0.466667,0.466667,38.166667
normal,0.0000,39,0.433333,0.433333,38.600000
normal,0.0000,40,0.366667,0.366667,38.966667
normal,0.0000,41,0.233333,0.233333,39.200000
normal,0.0000,42,0.233333,0.233333,39.433333
normal,0.0000,43,0.100000,0.100000,39.533333
normal,0.0000,44,0.133333,0.133333,39.666667
normal,0.0000,45,0.100000,0.100000,39.766667
normal,0.0000,46,0.066667,0.066667,39.833333
normal,0.0000,47,0.166667,0.166667,40.000000
normal,0.0000,48,0.200000,0.200000,40.200000
normal,0.0000,49,0.133333,0.133333,40.333333
normal,0.0000,50,0.000000,0.000000,40.333333
normal,0.0000,51,0.000000,0.000000,40.333333
normal,0.0000,52,0.000000,0.000000,40.333333
normal,0.0000,53,0.000000,0.000000,40.333333
normal,0.0000,54,0.000000,0.000000,40.333333
normal,0.0000,55,0.000000,0.000000,40.333333
normal,0.0000,56,0.000000,0.000000,40.333333
normal,0.0000,57,0.000000,0.000000,40.333333
normal,0.0000,58,0.000000,0.000000,40.333333
normal,0.0000,59,0.000000,0.000000,40.333333
normal,0.0000,60,0.000000,0.000000,40.333333
normal,0.0000,61,0.000000,0.000000,40.333333
normal,0.0000,62,0.000000,0.000000,40.333333
normal,0.0000,63,0.000000,0.000000,40.333333
normal,0.0000,64,0.000000,0.000000,40.333333
normal,0.0000,65,0.000000,0.000000,40.333333
normal,0.0000,66,0.000000,0.000000,40.333333
normal,0.0000,67,0.000000,0.000000,40.333333
normal,0.0000,68,0.000000,0.000000,40.333333
normal,0.0000,69,0.000000,0.000000,40.333333
normal,0.0000,70,0.000000,0.000000,40.333333
normal,0.0000,71,0.000000,0.000000,40.333333
normal,0.0000,72,0.000000,0.000000,40.333333
normal,0.0000,73,0.000000,0.000000,40.333333
normal,0.0000,74,0.000000,0.000000,40.333333
normal,0.0000,75,0.000000,0.000000,40.333333
normal,0.0000,76,0.000000,0.000000,40.333333
normal,0.0000,77,0.000000,0.000000,40.333333
normal,0.0000,78,0.000000,0.000000,40.333333
normal,0.0000,79,0.000000,0.000000,40.333333
normal,0.0000,80,0.000000,0.000000,40.333333
normal,0.0000,81,0.000000,0.000000,40.333333
normal,0.0000,82,0.000000,0.000000,40.333333
normal,0.0000,83,0.000000,0.000000,40.333333
normal,0.0000,84,0.000000,0.000000,40.333333
normal,0.0000,85,0.000000,0.000000,40.333333
normal,0.0000,86,0.000000,0.000000,40.333333
normal,0.0000,87,0.000000,0.000000,40.333333
normal,0.0000,88,0.000000,0.000000,40.333333
normal,0.0000,89,0.000000,0.000000,40.333333
normal,0.0000,90,0.000000,0.000000,40.333333
normal,0.0000,91,0.000000,0.000000,40.333333
normal,0.0000,92,0.000000,0.000000,40.333333
normal,0.0000,93,0.000000,0.000000,40.333333
normal,0.0000,94,0.000000,0.000000,40.333333
normal,0.0000,95,0.000000,0.000000,40.333333
normal,0.0000,96,0.000000,0.000000,40.333333
normal,0.0000,97,0.000000,0.000000,40.333333
normal,0.0000,98,0.000000,0.000000,40.333333
normal,0.0000,99,0.000000,0.000000,40.333333
normal,0.0000,100,0.000000,0.000000,40.333333
normal,0.0000,101,0.000000,0.000000,40.333333
normal,0.0000,102,0.000000,0.000000,40.333333
normal,0.0000,103,0.000000,0.000000,40.333333
normal,0.0000,104,0.000000,0.000000,40.333333
normal,0.0000,105,0.000000,0.000000,40.333333
normal,0.0000,106,0.000000,0.000000,40.333333
