model,lambda_ss,time,mean_new_infections,mean_active_infected,mean_cumulative_infected
normal,0.0000,107,0.000000,0.000000,40.333333
normal,0.0000,108,0.000000,0.000000,40.333333
normal,0.0000,109,0.000000,0.000000,40.333333
normal,0.0000,110,0.000000,0.000000,40.333333
normal,0.0000,111,0.000000,0.000000,40.333333
normal,0.0000,112,0.000000,0.000000,40.333333
normal,0.0000,113,0.000000,0.000000,40.333333
normal,0.0000,114,0.000000,0.000000,40.333333
normal,0.0000,115,0.000000,0.000000,40.333333
normal,0.0000,116,0.000000,0.000000,40.333333
normal,0.0000,117,0.000000,0.000000,40.333333
normal,0.0000,118,0.000000,0.000000,40.333333
normal,0.0000,119,0.000000,0.000000,40.333333
normal,0.0000,120,0.000000,0.000000,40.333333
normal,0.0000,121,0.000000,0.000000,40.333333
normal,0.0000,122,0.000000,0.000000,40.333333
normal,0.0000,123,0.000000,0.000000,40.333333
normal,0.0000,124,0.000000,0.000000,40.333333
normal,0.0000,125,0.000000,0.000000,40.333333
normal,0.0000,126,0.000000,0.000000,40.333333
normal,0.0000,127,0.000000,0.000000,40.333333
normal,0.0000,128,0.000000,0.000000,40.333333
normal,0.0000,129,0.000000,0.000000,40.333333
normal,0.0000,130,0.000000,0.000000,40.333333
normal,0.0000,131,0.000000,0.000000,40.333333
normal,0.0000,132,0.000000,0.000000,40.333333
normal,0.0000,133,0.000000,0.000000,40.333333
normal,0.0000,134,0.000000,0.000000,40.333333
normal,0.0000,135,0.000000,0.000000,40.333333
normal,0.0000,136,0.000000,0.000000,40.333333
normal,0.0000,137,0.000000,0.000000,40.333333
normal,0.0000,138,0.000000,0.000000,40.333333
normal,0.0000,139,0.000000,0.000000,40.333333
normal,0.0000,140,0.000000,0.000000,40.333333
normal,0.0000,141,0.000000,0.000000,40.333333
normal,0.0000,142,0.000000,0.000000,40.333333
normal,0.0000,143,0.000000,0.000000,40.333333
normal,0.0000,144,0.000000,0.000000,40.333333
normal,0.0000,145,0.000000,0.000000,40.333333
normal,0.0000,146,0.000000,0.000000,40.333333
normal,0.0000,147,0.000000,0.000000,40.333333
normal,0.0000,148,0.000000,0.000000,40.333333
normal,0.0000,149,0.000000,0.000000,40.333333
normal,0.0000,150,0.000000,0.000000,40.333333
normal,0.0000,151,0.000000,0.000000,40.333333
normal,0.0000,152,0.000000,0.000000,40.333333
normal,0.0000,153,0.000000,0.000000,40.333333
normal,0.0000,154,0.000000,0.000000,40.333333
normal,0.0000,155,0.000000,0.000000,40.333333
normal,0.0000,156,0.000000,0.000000,40.333333
normal,0.0000,157,0.000000,0.000000,40.333333
normal,0.0000,158,0.000000,0.000000,40.333333
normal,0.0000,159,0.000000,0.000000,40.333333
normal,0.0000,160,0.000000,0.000000,40.333333
normal,0.0000,161,0.000000,0.000000,40.333333
normal,0.0000,162,0.000000,0.000000,40.333333
normal,0.0000,163,0.000000,0.000000,40.333333
normal,0.0000,164,0.000000,0.000000,40.333333
normal,0.0000,165,0.000000,0.000000,40.333333
normal,0.0000,166,0.000000,0.000000,40.333333
normal,0.0000,167,0.000000,0.000000,40.333333
normal,0.0000,168,0.000000,0.000000,40.333333
normal,0.0000,169,0.000000,0.000000,40.333333
normal,0.0000,170,0.000000,0.000000,40.333333
normal,0.0000,171,0.000000,0.000000,40.333333
normal,0.0000,172,0.000000,0.000000,40.333333
normal,0.0000,173,0.000000,0.000000,40.333333
normal,0.0000,174,0.000000,0.000000,40.333333
normal,0.0000,175,0.000000,0.000000,40.333333
normal,0.0000,176,0.000000,0.000000,40.333333
normal,0.0000,177,0.000000,0.000000,40.333333
normal,0.0000,178,0.000000,0.000000,40.333333
normal,0.0000,179,0.000000,0.000000,40.333333
normal,0.0000,180,0.000000,0.000000,40.333333
normal,0.0000,181,0.000000,0.000000,40.333333
normal,0.0000,182,0.000000,0.000000,40.333333
normal,0.0000,183,0.000000,0.000000,40.333333
normal,0.0000,184,0.000000,0.000000,40.333333
normal,0.0000,185,0.000000,0.000000,40.333333
normal,0.0000,186,0.000000,0.000000,40.333333
normal,0.0000,187,0.000000,0.000000,40.333333
normal,0.0000,188,0.000000,0.000000,40.333333
normal,0.0000,189,0.000000,0.000000,40.333333
normal,0.0000,190,0.000000,0.000000,40.333333
normal,0.0000,191,0.000000,0.000000,40.333333
normal,0.0000,192,0.000000,0.000000,40.333333
normal,0.0000,193,0.000000,0.000000,40.333333
normal,0.0000,194,0.000000,0.000000,40.333333
normal,0.0000,195,0.000000,0.000000,40.333333
normal,0.0000,196,0.000000,0.000000,40.333333
normal,0.0000,197,0.000000,0.000000,40.333333
normal,0.0000,198,0.000000,0.000000,40.333333
normal,0.0000,199,0.000000,0.000000,40.333333
normal,0.0000,200,0.000000,0.000000,40.333333
strong,0.2000,0,1.000000,1.000000,1.000000
strong,0.2000,1,2.800000,2.800000,3.800000
strong,0.2000,2,4.366667,4.366667,8.166667
strong,0.2000,3,4.666667,4.666667,12.833333
strong,0.2000,4,8.333333,8.333333,21.166667
strong,0.2000,5,8.033333,8.033333,29.200000
strong,0.2000,6,8.366667,8.366667,37.566667
strong,0.2000,7,10.033333,10.033333,47.600000
strong,0.2000,8,11.400000,11.400000,59.000000
strong,0.2000,9,11.933333,11.933333,70.933333
strong,0.2000,10,13.566667,13.566667,84.500000
strong,0.2000,11,14.200000,14.200000,98.700000
strong,0.2000,12,15.100000,15.100000,113.800000
strong,0.2000,13,14.833333,14.833333,128.633333
strong,0.2000,14,12.066667,12.066667,140.700000
strong,0.2000,15,13.500000,13.500000,154.200000
strong,0.2000,16,15.666667,15.666667,169.866667
strong,0.2000,17,16.066667,16.066667,185.933333
strong,0.2000,18,11.066667,11.066667,197.000000
strong,0.2000,19,11.333333,11.333333,208.333333
strong,0.2000,20,10.733333,10.733333,219.066667
strong,0.2000,21,7.766667,7.766667,226.833333
strong,0.2000,22,6.500000,6.500000,233.333333
strong,0.2000,23,5.200000,5.200000,238.533333
strong,0.2000,24,2.566667,2.566667,241.100000
strong,0.2000,25,1.333333,1.333333,242.433333
strong,0.2000,26,1.833333,1.833333,244.266667
strong,0.2000,27,0.966667,0.966667,245.233333
strong,0.2000,28,1.000000,1.000000,246.233333
strong,0.2000,29,0.700000,0.700000,246.933333
strong,0.2000,30,0.333333,0.333333,247.266667
strong,0.2000,31,0.200000,0.200000,247.466667
strong,0.2000,32,0.100000,0.100000,247.566667
strong,0.2000,33,0.033333,0.033333,247.600000
strong,0.2000,34,0.000000,0.000000,247.600000
strong,0.2000,35,0.000000,0.000000,247.600000
strong,0.2000,36,0.000000,0.000000,247.600000
strong,0.2000,37,0.000000,0.000000,247.600000
strong,0.2000,38,0.000000,0.000000,247.600000
strong,0.2000,39,0.000000,0.000000,247.600000
strong,0.2000,40,0.000000,0.000000,247.600000
strong,0.2000,41,0.000000,0.000000,247.600000
strong,0.2000,42,0.000000,0.000000,247.600000
strong,0.2000,43,0.000000,0.000000,247.600000
strong,0.2000,44,0.000000,0.000000,247.600000
strong,0.2000,45,0.000000,0.000000,247.600000
strong,0.2000,46,0.000000,0.000000,247.600000
strong,0.2000,47,0.000000,0.000000,247.600000
strong,0.2000,48,0.000000,0.000000,247.600000
strong,0.2000,49,0.000000,0.000000,247.600000
strong,0.2000,50,0.000000,0.000000,247.600000
strong,0.2000,51,0.000000,0.000000,247.600000
strong,0.2000,52,0.000000,0.000000,247.600000
strong,0.2000,53,0.000000,0.000000,247.600000
strong,0.2000,54,0.000000,0.000000,247.600000
strong,0.2000,55,0.000000,0.000000,247.600000
strong,0.2000,56,0.000000,0.000000,247.600000
strong,0.2000,57,0.000000,0.000000,247.600000
strong,0.2000,58,0.000000,0.000000,247.600000
strong,0.2000,59,0.000000,0.000000,247.600000
strong,0.2000,60,0.000000,0.000000,247.600000
strong,0.2000,61,0.000000,0.000000,247.600000
strong,0.2000,62,0.000000,0.000000,247.600000
strong,0.2000,63,0.000000,0.000000,247.600000
strong,0.2000,64,0.000000,0.000000,247.600000
strong,0.2000,65,0.000000,0.000000,247.600000
strong,0.2000,66,0.000000,0.000000,247.600000
strong,0.2000,67,0.000000,0.000000,247.600000
strong,0.2000,68,0.000000,0.000000,247.600000
strong,0.2000,69,0.000000,0.000000,247.600000
strong,0.2000,70,0.000000,0.000000,247.600000
strong,0.2000,71,0.000000,0.000000,247.600000
strong,0.2000,72,0.000000,0.000000,247.600000
strong,0.2000,73,0.000000,0.000000,247.600000
strong,0.2000,74,0.000000,0.000000,247.600000
strong,0.2000,75,0.000000,0.000000,247.600000
strong,0.2000,76,0.000000,0.000000,247.600000
strong,0.2000,77,0.000000,0.000000,247.600000
strong,0.2000,78,0.000000,0.000000,247.600000
strong,0.2000,79,0.000000,0.000000,247.600000
strong,0.2000,80,0.000000,0.000000,247.600000
strong,0.2000,81,0.000000,0.000000,247.600000
strong,0.2000,82,0.000000,0.000000,247.600000
strong,0.2000,83,0.000000,0.000000,247.600000
strong,0.2000,84,0.000000,0.000000,247.600000
strong,0.2000,85,0.000000,0.000000,247.600000
strong,0.2000,86,0.000000,0.000000,247.600000
strong,0.2000,87,0.000000,0.000000,247.600000
strong,0.2000,88,0.000000,0.000000,247.600000
strong,0.2000,89,0.000000,0.000000,247.600000
strong,0.2000,90,0.000000,0.000000,247.600000
strong,0.2000,91,0.000000,0.000000,247.600000
strong,0.2000,92,0.000000,0.000000,247.600000
strong,0.2000,93,0.000000,0.000000,247.600000
strong,0.2000,94,0.000000,0.000000,247.600000
strong,0.2000,95,0.000000,0.000000,247.600000
strong,0.2000,96,0.000000,0.000000,247.600000
strong,0.2000,97,0.000000,0.000000,247.600000
strong,0.2000,98,0.000000,0.000000,247.600000
strong,0.2000,99,0.000000,0.000000,247.600000
strong,0.2000,100,0.000000,0.000000,247.600000
strong,0.2000,101,0.000000,0.000000,247.600000
strong,0.2000,102,0.000000,0.000000,247.600000
strong,0.2000,103,0.000000,0.000000,247.600000
strong,0.2000,104,0.000000,0.000000,247.600000
strong,0.2000,105,0.000000,0.000000,247.600000
strong,0.2000,106,0.000000,0.000000,247.600000
strong,0.2000,107,0.000000,0.000000,247.600000
strong,0.2000,108,0.000000,0.000000,247.600000
strong,0.2000,109,0.000000,0.000000,247.600000
strong,0.2000,110,0.000000,0.000000,247.600000
strong,0.2000,111,0.000000,0.000000,247.600000
strong,0.2000,112,0.000000,0.000000,247.600000
strong,0.2000,113,0.000000,0.000000,247.600000
strong,0.2000,114,0.000000,0.000000,247.600000
strong,0.2000,115,0.000000,0.000000,247.600000
strong,0.2000,116,0.000000,0.000000,247.600000
strong,0.2000,117,0.000000,0.000000,247.600000
strong,0.2000,118,0.000000,0.000000,247.600000
strong,0.2000,119,0.000000,0.000000,247.600000
strong,0.2000,120,0.000000,0.000000,247.600000
strong,0.2000,121,0.000000,0.000000,247.600000
strong,0.2000,122,0.000000,0.000000,247.600000
strong,0.2000,123,0.000000,0.000000,247.600000
strong,0.2000,124,0.000000,0.000000,247.600000
strong,0.2000,125,0.000000,0.000000,247.600000
strong,0.2000,126,0.000000,0.000000,247.600000
strong,0.2000,127,0.000000,0.000000,247.600000
strong,0.2000,128,0.000000,0.000000,247.600000
strong,0.2000,129,0.000000,0.000000,247.600000
strong,0.2000,130,0.000000,0.000000,247.600000
strong,0.2000,131,0.000000,0.000000,247.600000
strong,0.2000,132,0.000000,0.000000,247.600000
strong,0.2000,133,0.000000,0.000000,247.600000
strong,0.2000,134,0.000000,0.000000,247.600000
strong,0.2000,135,0.000000,0.000000,247.600000
strong,0.2000,136,0.000000,0.000000,247.600000
strong,0.2000,137,0.000000,0.000000,247.600000
strong,0.2000,138,0.000000,0.000000,247.600000
strong,0.2000,139,0.000000,0.000000,247.600000
strong,0.2000,140,0.000000,0.000000,247.600000
strong,0.2000,141,0.000000,0.000000,247.600000
strong,0.2000,142,0.000000,0.000000,247.600000
strong,0.2000,143,0.000000,0.000000,247.600000
strong,0.2000,144,0.000000,0.000000,247.600000
strong,0.2000,145,0.000000,0.000000,247.600000
strong,0.2000,146,0.000000,0.000000,247.600000
strong,0.2000,147,0.000000,0.000000,247.600000
strong,0.2000,148,0.000000,0.000000,247.600000
strong,0.2000,149,0.000000,0.000000,247.600000
strong,0.2000,150,0.000000,0.000000,247.600000
strong,0.2000,151,0.000000,0.000000,247.600000
strong,0.2000,152,0.000000,0.000000,247.600000
strong,0.2000,153,0.000000,0.000000,247.600000
strong,0.2000,154,0.000000,0.000000,247.600000
strong,0.2000,155,0.000000,0.000000,247.600000
strong,0.2000,156,0.000000,0.000000,247.600000
strong,0.2000,157,0.000000,0.000000,247.600000
strong,0.2000,158,0.000000,0.000000,247.600000
strong,0.2000,159,0.000000,0.000000,247.600000
strong,0.2000,160,0.000000,0.000000,247.600000
strong,0.2000,161,0.000000,0.000000,247.600000
strong,0.2000,162,0.000000,0.000000,247.600000
strong,0.2000,163,0.000000,0.000000,247.600000
strong,0.2000,164,0.000000,0.000000,247.600000
strong,0.2000,165,0.000000,0.000000,247.600000
strong,0.2000,166,0.000000,0.000000,247.600000
strong,0.2000,167,0.000000,0.000000,247.600000
strong,0.2000,168,0.000000,0.000000,247.600000
strong,0.2000,169,0.000000,0.000000,247.600000
strong,0.2000,170,0.000000,0.000000,247.600000
strong,0.2000,171,0.000000,0.000000,247.600000
strong,0.2000,172,0.000000,0.000000,247.600000
strong,0.2000,173,0.000000,0.000000,247.600000
strong,0.2000,174,0.000000,0.000000,247.600000
strong,0.2000,175,0.000000,0.000000,247.600000
strong,0.2000,176,0.000000,0.000000,247.600000
strong,0.2000,177,0.000000,0.000000,247.600000
strong,0.2000,178,0.000000,0.000000,247.600000
strong,0.2000,179,0.000000,0.000000,247.600000
strong,0.2000,180,0.000000,0.000000,247.600000
strong,0.2000,181,0.000000,0.000000,247.600000
strong,0.2000,182,0.000000,0.000000,247.600000
strong,0.2000,183,0.000000,0.000000,247.600000
strong,0.2000,184,0.000000,0.000000,247.600000
strong,0.2000,185,0.000000,0.000000,247.600000
strong,0.2000,186,0.000000,0.000000,247.600000
strong,0.2000,187,0.000000,0.000000,247.600000
strong,0.2000,188,0.000000,0.000000,247.600000
strong,0.2000,189,0.000000,0.000000,247.600000
strong,0.2000,190,0.000000,0.000000,247.600000
strong,0.2000,191,0.000000,0.000000,247.600000
strong,0.2000,192,0.000000,0.000000,247.600000
strong,0.2000,193,0.000000,0.000000,247.600000
strong,0.2000,194,0.000000,0.000000,247.600000
strong,0.2000,195,0.000000,0.000000,247.600000
strong,0.2000,196,0.000000,0.000000,247.600000
strong,0.2000,197,0.000000,0.000000,247.600000
strong,0.2000,198,0.000000,0.000000,247.600000
strong,0.2000,199,0.000000,0.000000,247.600000
strong,0.2000,200,0.000000,0.000000,247.600000
